Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1304,2021-05-13,7,19,11,12,5,25,8,20,1,0,30000000,30000000,5,0,545663.5,109132.7,87,7,333462.3,3832.9,1801,203,606306.65,336.65,3103,371,454744.65,146.55,44803,5005,2941316.95,65.65,63461,7202,2303634.3,36.3,269066,30965,4547215.4,16.9,747099,86491,7956604.35,10.65
1305,2021-05-20,14,7,18,5,8,2,11,19,0,0,0,0,3,0,211591.8,70530.6,47,4,129306.4,2751.2,828,100,235110.6,283.95,1435,138,176361.5,122.9,20048,2165,1140731.2,56.9,26155,2630,893193.25,34.15,114444,13462,1762437.6,15.4,304015,36461,3085752.25,10.15
1306,2021-05-27,5,12,10,6,2,24,25,20,1,0,9738691.4,9738691.4,8,1,289306.8,36163.35,37,3,176798.95,4778.35,858,85,321449.7,374.65,1593,186,241100.55,151.35,22615,2742,1559304.25,68.95,30930,3387,1221735,39.5,136973,16205,2410724.8,17.6,388449,46210,4234094.1,10.9
1307,2021-06-03,17,1,19,11,12,28,14,11,0,0,0,0,1,0,202037.5,202037.5,31,2,123466.8,3982.8,595,66,224493.5,377.3,1188,160,168339.6,141.7,17809,2289,1089020.35,61.15,20905,2663,852924,40.8,106919,13415,1683974.25,15.75,293061,35475,2945263.05,10.05
1308,2021-06-10,32,25,13,2,15,35,24,16,0,0,0,0,3,0,266874,88958,36,0,163089,4530.25,621,64,296527.5,477.5,1227,125,222393.75,181.25,18275,2145,1438242.5,78.7,23575,2620,1126885,47.8,115522,13562,2223798.5,19.25,343660,40065,3900541,11.35
1309,2021-06-17,20,12,26,4,10,34,13,1,0,0,0,0,6,2,419947.8,69991.3,67,6,256633.45,3830.35,1127,107,466634.35,414.05,2021,218,349936.15,173.15,29752,3428,2262639.6,76.05,41574,4600,1773131.1,42.65,186696,21817,3500550,18.75,537297,62682,6125185.8,11.4
1310,2021-06-24,30,33,21,13,28,31,8,15,0,0,0,0,3,1,634193.85,211397.95,67,7,387561.5,5784.5,1393,162,704649.05,505.85,3174,396,528471,166.5,45595,5663,3417345.25,74.95,60448,7583,2677846.4,44.3,287523,35519,5290423.2,18.4,832427,102833,9281561.05,11.15
1311,2021-07-01,13,19,18,17,11,16,20,15,1,0,60000000,60000000,24,1,884133.6,36838.9,110,15,540303.5,4911.85,2225,271,982337.5,441.5,4310,462,736794.5,170.95,64439,7533,4765264.05,73.95,86727,9715,3733597.35,43.05,411625,47222,7368087.5,17.9,1194660,137324,12902328,10.8
1312,2021-07-08,7,8,17,9,19,32,15,6,0,0,0,0,2,1,206850.7,103425.35,20,3,126409,6320.45,528,71,229838.4,435.3,1104,142,172389.6,156.15,15991,1994,1114572.7,69.7,21900,2607,873810,39.9,98923,11905,1726206.35,17.45,278065,33355,3017005.25,10.85
1313,2021-07-15,25,32,17,16,3,11,26,2,0,0,0,0,3,1,296049.45,98683.15,43,3,180918.2,4207.4,692,84,328942.2,475.35,1395,165,246705.75,176.85,20967,2413,1595588.7,76.1,27807,3234,1249924.65,44.95,134535,15812,2468717.25,18.35,389363,45276,4321929.3,11.1
1314,2021-07-22,28,25,15,13,20,29,16,11,0,0,0,0,6,1,467143.8,77857.3,55,10,285477.5,5190.5,1022,170,519073.8,507.9,2421,291,389296.8,160.8,34421,4224,2517896.15,73.15,43581,5583,1972040.25,45.25,217931,27130,3890068.35,17.85,638440,78863,6831308,10.7
1315,2021-07-29,23,26,7,4,33,35,22,17,0,0,0,0,5,0,652276.75,130455.35,61,7,398613.65,6534.65,1485,164,724754.25,488.05,3268,396,543631.8,166.35,48998,6060,3515606.5,71.75,63812,7618,2753487.8,43.15,305483,36912,5437597.4,17.8,873078,106413,9516550.2,10.9
1316,2021-08-05,16,25,12,7,11,10,21,18,0,0,0,0,7,0,911597.4,130228.2,119,13,557086.6,4681.4,2168,251,1012889.6,467.2,5094,595,759770.1,149.15,71252,8417,4912825.4,68.95,97594,11258,3850083.3,39.45,436559,52944,7596126.6,17.4,1239777,151961,13327602.75,10.75
