Combination,Count,Dates
1-7-10-15-38-nan-nan,1,10/09/2009
1-6.0-17-20-26.0-33-35,1,14/07/2022
1-6-9.0-18-21-34-nan,1,15/03/2018
1-6-9-31-38.0-39-nan,1,17/07/2014
1-6-8-41-44-nan-nan,1,04/11/2004
1-6-8-16.0-17-20-nan,1,10/08/2017
1-6-34-37-38-nan-nan,1,16/10/2008
1-6-14-34-42-nan-nan,1,20/08/2009
1-6-13-20-29-nan-nan,1,15/05/2008
1-6-13-14.0-25-32-nan,1,28/09/2017
1-6-12-15-39-nan-nan,1,27/02/2003
1-6-11.0-16-17-22-29.0,1,30/06/2022
1-6-11-13-16.0-23-27.0,1,18/07/2019
1-6-10.0-15-16-21.0-26,1,02/07/2020
1-5.0-11-16-17.0-29-30,1,08/08/2019
1-8-22-23-42-nan-nan,1,05/02/2009
1-8-21-22-30-33.0-nan,1,11/02/2016
1-8-19-42-45-nan-nan,1,11/08/2011
1-8-16-24-32-nan-nan,1,20/03/2008
1-8-15-16-22-nan-nan,1,06/07/2006
1-8-12-26.0-31-38-nan,1,14/08/2014
1-8-11-15.0-21-31-nan,1,24/07/2014
1-7.0-8.0-22-28-31-32,1,26/07/2018
1-7.0-13.0-23-25-26-27,1,01/04/2021
1-7-8.0-11-29.0-31-32,1,16/11/2023
1-7-34-37-44-nan-nan,1,01/02/2001
1-7-23-30-32-nan-nan,1,30/09/2004
1-7-19-33-40-nan-nan,1,30/08/2007
1-7-13-18-23-25.0-33.0,1,03/08/2023
1-7-12-16-19-24.0-25.0,1,28/04/2022
1-7-12-13-26.0-30-34.0,1,19/11/2020
1.0-3-15-19-26-35-nan,1,12/11/2015
1.0-3-12-13-21.0-26-31,1,20/02/2020
1.0-2-4-11.0-17-21-30,1,18/04/2019
1.0-2-3-4-15.0-17-20,1,11/11/2021
1.0-2-3-11-15-26-35.0,1,06/02/2020
1.0-2-10-16-24-28.0-31,1,29/10/2020
1.0-13-16-18.0-25-31-35,1,13/10/2022
1.0-10-13-23-24-40-nan,1,25/01/2018
1-9-28-33-37-nan-nan,1,24/09/2009
1-9-23-25-41-nan-nan,1,27/05/1999
1-9-11-29-40-nan-nan,1,18/11/2004
1-8.0-20-22-23-25-nan,1,08/08/2013
1-8.0-15-26-32-38-nan,1,24/12/2015
1-8.0-11-12-16.0-18-28,1,15/08/2024
1-8-9-22.0-30-31.0-32,1,16/09/2021
1-8-35-39-40-nan-nan,1,16/12/2004
10-11-21-36-43-nan-nan,1,04/07/2002
10-11-20-27-28-30.0-31.0,1,12/09/2019
10-11-19-39-45-nan-nan,1,23/01/2003
1.0-9-16-17-22.0-24-31,1,27/02/2020
1.0-9-12-24-28-30-nan,1,13/07/2017
1.0-8-14-17.0-19-21-26,1,11/03/2021
1.0-8-14-16-17-23-nan,1,04/07/2013
1.0-7.0-19-21-22-26-34,1,15/12/2022
1.0-7.0-16-20-26-29-32,1,11/02/2021
1.0-7-10-19-20-25-31.0,1,04/04/2024
1.0-6-7-18-22-28.0-33,1,04/03/2021
1.0-6-10-20-21-31-35.0,1,12/10/2023
1.0-6-10-14-26-27-nan,1,23/05/2013
1.0-3.0-4-6-7-24-26,1,19/10/2023
1.0-3-7-20-21-36-nan,1,30/07/2015
1.0-3-5-8-18-24.0-28,1,29/06/2023
10-15-22-25-34.0-37-nan,1,18/06/2015
10-15-21-24-26.0-28.0-35,1,22/09/2022
10-15-16-24-38-nan-nan,1,24/04/2008
10-14.0-16-21-23-25.0-34,1,06/05/2021
10-14-23-27-31-nan-nan,1,27/01/2011
10-14-17.0-18-28-35-nan,1,10/12/2015
10-13-19-23-25-nan-nan,1,24/07/1997
10-13-18-29-45-nan-nan,1,08/04/2010
10-12-22-29-31-nan-nan,1,26/10/2006
10-12-17.0-21.0-24-26-30,1,17/08/2023
10-12-17-37-44-nan-nan,1,04/08/2005
10-12-17-19-45-nan-nan,1,17/02/2005
10-12-13-24-33-nan-nan,1,26/06/2008
10-11.0-14-25-27-28-32.0,1,26/08/2021
10-11.0-12-30-32-35-nan,1,19/12/2013
10-11-28-32-37-nan-nan,1,03/05/2001
10-19.0-26-29-34-37-nan,1,30/05/2013
10-19-22.0-28.0-29-31-34,1,31/01/2019
10-19-21.0-23-26-36-nan,1,11/05/2017
10-19-20-22.0-32-33-nan,1,07/05/2015
10-18-22-28-31-nan-nan,1,16/02/2006
10-18-19-22-36-nan-nan,1,05/03/2009
10-18-19-22-25-nan-nan,1,27/05/2010
10-17-22-30.0-35-40-nan,1,22/03/2018
10-17-19.0-21.0-26-31-35,1,22/04/2021
10-17-19-21-37-nan-nan,1,11/05/2000
10-17-19-20-26.0-28-33.0,1,12/03/2020
10-16-23-24-33-nan-nan,1,20/06/2002
10-16-17-26-34-nan-nan,1,22/02/2007
10-16-17-22-32-nan-nan,1,18/12/1997
10-15-29-40-41-nan-nan,1,04/04/2002
10-15-26-37-40-nan-nan,1,31/08/2000
10.0-13.0-16-19-21-25-33,1,26/05/2022
10.0-13-15-20-21-33-nan,1,10/07/2014
10.0-12-14-15-16-21-25.0,1,25/03/2021
10.0-11-13-19-22-38-nan,1,06/07/2017
10.0-11-13-15.0-16-18-34,1,03/10/2024
10-37-39-41-43-nan-nan,1,12/02/2009
10-28-36-37-40-nan-nan,1,25/11/2010
10-25-33-34-42-nan-nan,1,29/10/1998
10-25-27-39-41-nan-nan,1,15/11/2007
10-24-30-31-38-nan-nan,1,24/08/2006
10-23-35-38-45-nan-nan,1,16/01/2003
10-22-35-36-39-nan-nan,1,21/07/2005
10-22-31-32-33-35.0-nan,1,19/01/2017
10-22-25-29-41-nan-nan,1,03/12/1998
10-22-23-34-43-nan-nan,1,07/12/2000
10-21-35-39-43-nan-nan,1,24/03/2011
11-14-31-33-42-nan-nan,1,22/05/2008
11-14-20-26-42-nan-nan,1,06/05/2004
11-14-18.0-20.0-24-27-29,1,07/09/2023
11-14-17-26-44-nan-nan,1,10/04/1997
11-14-15.0-16-19-38-nan,1,22/02/2018
11-14-15-16-29-nan-nan,1,01/07/2010
11-13-26-31-37-nan-nan,1,09/04/2009
11-13-18-30-36-nan-nan,1,13/12/2012
11-13-16.0-17-18-19-20.0,1,01/07/2021
11-12.0-15-24-29-38-nan,1,10/09/2015
11-12-25-38-42-nan-nan,1,10/11/2005
11-12-25-30-37-nan-nan,1,26/07/2001
11-12-19-25-30-nan-nan,1,08/07/2004
11-12-18-20-32-nan-nan,1,12/04/2012
11-12-13.0-24-25-38-nan,1,13/06/2013
10.0-16-23-24-27-28-33.0,1,05/03/2020
11-18-36-41-45-nan-nan,1,24/06/2004
11-18-23-29-30-nan-nan,1,20/12/2012
11-18-22-29-39-nan-nan,1,11/10/2007
11-18-20-34-39-nan-nan,1,09/12/2004
11-18-19-23-36-nan-nan,1,28/06/2012
11-17-31-32-40-nan-nan,1,18/03/2010
11-17-23-34-40-nan-nan,1,11/02/1999
11-17-20-31-40-nan-nan,1,16/07/2009
11-16.0-18-21-22-26-31.0,1,03/02/2022
11-16-30-43-45-nan-nan,1,12/05/2005
11-16-21.0-23-31-33-nan,1,09/02/2017
11-16-17-42-45-nan-nan,1,20/08/1998
11-15.0-16-18.0-22-26-30,1,01/10/2020
11-15-24-25-28-nan-nan,1,26/11/1998
11-15-23-29-34-nan-nan,1,21/06/2007
11-15-17-27-40-nan-nan,1,14/02/2002
12-14-17-24-39-nan-nan,1,10/02/2000
12-13-21-28-29-nan-nan,1,28/04/2005
11.0-17-19.0-20-23-25-33,1,25/02/2021
11.0-14.0-18-23-26-32-34,1,16/07/2020
11.0-14-25-26-31.0-34-35,1,20/01/2022
11-25-37-38-41-nan-nan,1,28/05/1998
11-24-27-30-43-nan-nan,1,02/06/2005
11-23-35-39-45-nan-nan,1,19/08/1999
11-23-29-40-43-nan-nan,1,28/09/2006
11-23-25-34-42-nan-nan,1,11/09/2003
11-23-24-29-32-nan-nan,1,24/01/2002
11-22-32-34-42-nan-nan,1,30/04/1998
11-21-33-38-41-nan-nan,1,09/02/2006
11-20-22-27.0-34-39-nan,1,20/03/2014
11-19-22-30-32-nan-nan,1,07/10/1999
11-19-20-22-23-nan-nan,1,24/05/2001
12-18-36-42-45-nan-nan,1,20/09/2007
12-18-23-24-25-nan-nan,1,06/05/1999
12-18-20-21-29-nan-nan,1,28/10/2004
12-17-25-35-36-40.0-nan,1,22/06/2017
12-17-20-30-41-nan-nan,1,12/08/1999
12-17-19-25-42-nan-nan,1,13/03/2008
12-17-18-20-33-nan-nan,1,24/07/2003
12-17-18-19-32-nan-nan,1,23/05/2002
12-16-25-29-37-nan-nan,1,05/12/2002
12-16-20-23-30-nan-nan,1,01/07/1999
12-15.0-17-23.0-29-30-35,1,08/11/2018
12-15-23-27-29-nan-nan,1,14/06/2012
12-15-21-29-30-nan-nan,1,01/07/2004
12-15-17-22-24-nan-nan,1,11/11/1999
12-15-17-20.0-21.0-22-28,1,08/06/2023
12-14-40-41-43-nan-nan,1,20/03/2003
12-26-28-39-40-nan-nan,1,14/03/2002
12-24-37-38-41-nan-nan,1,14/07/2005
12-23-36-44-45-nan-nan,1,02/06/2011
12-23-25-42-43-nan-nan,1,25/06/2009
12-22-28-35-44-nan-nan,1,15/10/1998
12-22-26-31-42-nan-nan,1,07/07/2005
12-22-24.0-25-32-39-nan,1,25/08/2016
12-21-22-29-45-nan-nan,1,26/02/1998
12-20-34-39-45-nan-nan,1,01/06/2000
12-19-31-39-42-nan-nan,1,04/12/2003
12-19-29-39-44-nan-nan,1,01/05/1997
12-19-23-42-45-nan-nan,1,12/01/2012
12-19-23-34-36.0-37-nan,1,14/01/2016
12-19-21-25-44-nan-nan,1,11/10/2001
12-19-20-33-42-nan-nan,1,24/06/2010
12-18.0-20-22-23-37-nan,1,28/11/2013
13-16-27-31-44-nan-nan,1,14/01/2010
13-16-19-31.0-32-38-nan,1,25/12/2014
13-16-18-26-28-nan-nan,1,06/09/2012
13-15-39-40-45-nan-nan,1,15/06/2000
13-15-21-23-25.0-30-31.0,1,08/09/2022
13-15-20-44-45-nan-nan,1,29/04/2010
13-15-20-24-41-nan-nan,1,09/01/2003
13-15-17-21-45-nan-nan,1,30/07/2009
13-15-16.0-20-25-28-29.0,1,22/07/2021
13-15-16-29-42-nan-nan,1,26/03/2009
13-14-22-34-42-nan-nan,1,25/08/2005
13-14-20-22-25-34.0-35.0,1,21/12/2023
13-14-16-18-19.0-21-29.0,1,02/03/2023
12.0-17-20-22-23-27-32.0,1,14/10/2021
12-36-37-40-45-nan-nan,1,18/07/2002
12-28-29-34-35.0-37-nan,1,28/12/2017
13-22-27-30-34.0-40-nan,1,16/03/2017
13-21-29-37-41-nan-nan,1,01/06/2006
13-21-25-29-45-nan-nan,1,30/04/2009
13-20-23-24-37-nan-nan,1,15/03/2012
13-20-21-23-27-30.0-32.0,1,11/10/2018
13-19-22.0-24-30-39-nan,1,23/10/2014
13-18-30-38-42-nan-nan,1,25/10/2012
13-18-21-31-38-nan-nan,1,25/09/1997
13-17-32-33-38-nan-nan,1,03/08/2000
13-17-29-38-43-nan-nan,1,21/04/2011
13-17-29-34-38-nan-nan,1,13/07/2000
13-17-23-33-38-nan-nan,1,24/04/2003
13-17-20-26-42-nan-nan,1,13/03/1997
13-17-19-20-24.0-31-nan,1,05/11/2015
13-17-18-23.0-25-27-nan,1,02/10/2014
13-16-30-33-41-nan-nan,1,28/12/2006
14-17-21-32-42-nan-nan,1,23/07/1998
